Итерация 32: 29,5499   13,5118   -13,8559   -6,922   20,9607   36,3895   7,9084   50,1804   23,8001   27,4563   f = 119,7254
Итерация 33: 29,6557   13,3154   -13,2242   -7,1429   20,806   36,7884   7,5605   50,3325   23,5429   27,6999   f = 120,9421
Итерация 34: 29,7684   13,0993   -12,572   -7,3334   20,6289   37,2053   7,1888   50,4789   23,2549   27,9494   f = 122,6122
Итерация 35: 29,8682   12,9463   -12,1413   -7,4612   20,5151   37,5416   6,9147   50,6194   23,0588   28,1537   f = 122,7228
Итерация 36: 29,9748   12,7571   -11,6318   -7,5729   20,362   37,9152   6,5898   50,7544   22,8077   28,3758   f = 123,7327
Итерация 37: 30,0793   12,576   -11,1714   -7,6543   20,2158   38,2739   6,2798   50,8845   22,5674   28,5883   f = 124,5517
Итерация 38: 30,1844   12,3889   -10,7191   -7,71   20,0615   38,634   5,964   51,0092   22,3169   28,7995   f = 125,5311
Итерация 39: 30,2908   12,199   -10,2817   -7,7416   19,9023   38,9912   5,6484   51,1275   22,0605   29,0063   f = 126,6188
Итерация 40: 30,3889   12,0341   -9,9231   -7,7554   19,7679   39,3147   5,3703   51,2425   21,8406   29,1954   f = 127,1663
Итерация 41: 30,4898   11,8468   -9,5288   -7,744   19,6078   39,6566   5,0626   51,3498   21,5856   29,3918   f = 128,2924
Итерация 42: 30,5831   11,6905   -9,218   -7,7269   19,4793   39,9597   4,8014   51,4553   21,3764   29,5676   f = 128,7557
Итерация 43: 30,6752   11,5301   -8,9092   -7,6942   19,3448   40,2619   4,5362   51,5553   21,1596   29,7415   f = 129,3835
Итерация 44: 30,766   11,3657   -8,6024   -7,646   19,2042   40,5623   4,2675   51,6495   20,9357   29,9131   f = 130,1792
Итерация 45: 30,8553   11,1976   -8,2977   -7,5828   19,0579   40,8604   3,9958   51,7374   20,7047   30,0819   f = 131,1469
Итерация 46: 30,9365   11,0645   -8,0708   -7,5315   18,9484   41,1191   3,7742   51,8275   20,5264   30,2312   f = 131,3567
Итерация 47: 31,019   10,9086   -7,8053   -7,4554   18,8123   41,3939   3,5231   51,9076   20,3121   30,3865   f = 132,2012
Итерация 48: 31,0965   10,7697   -7,5779   -7,3829   18,6934   41,6474   3,2968   51,9867   20,1226   30,5308   f = 132,729
Итерация 49: 31,1722   10,628   -7,3501   -7,3007   18,5699   41,8984   3,0683   52,0605   19,9279   30,6727   f = 133,4057
