Итерация 63: 300,2462   133,4857   1109,1647   -5,3884   
Итерация 64: 300,2   133,1662   1109,0137   -4,9096   
Итерация 65: 300,2373   133,3654   1109,2819   -5,3002   
Итерация 66: 300,2042   133,1857   1109,2024   -5,0767   
Итерация 67: 300,155   132,8651   1109,0508   -4,6039   
Итерация 68: 300,2512   131,1373   1117,9697   -4,8186   
Итерация 69: 300,2044   130,8142   1117,8278   -4,3703   
Итерация 70: 300,2509   130,6333   1118,8212   -4,4066   
Итерация 71: 300,2544   130,5554   1119,0271   -4,3276   
Итерация 72: 300,2718   130,6108   1119,1551   -4,4262   
Итерация 73: 300,2562   130,522   1119,2128   -4,3766   
Итерация 74: 300,2304   130,4228   1119,1966   -4,3293   
Итерация 75: 300,251   130,228   1119,7398   -4,2637   
Итерация 76: 300,2393   130,1457   1119,7043   -4,1543   
Итерация 77: 300,2314   130,0717   1119,6705   -4,0378   
Итерация 78: 300,2327   130,0161   1119,6403   -3,9042   
Итерация 79: 300,2247   129,9885   1119,7054   -3,9583   
Итерация 80: 300,2266   129,9341   1119,6754   -3,8229   
Итерация 81: 300,2316   129,95   1119,7013   -3,8533   
Итерация 82: 300,2701   129,8315   1120,1087   -3,8719   
Итерация 83: 300,2664   129,7796   1120,1014   -3,797   
Итерация 84: 300,2404   129,6715   1120,1765   -3,7985   
Итерация 85: 300,2273   129,5857   1120,1403   -3,6926   
Итерация 86: 300,2161   129,504   1120,1048   -3,5842   
Итерация 87: 300,2092   129,4315   1120,0712   -3,4682   
Итерация 88: 300,2131   129,3808   1120,0419   -3,3322   
Итерация 89: 300,2403   129,4435   1120,3753   -3,6072   
Итерация 90: 300,2292   129,3608   1120,3397   -3,4977   
Итерация 91: 300,2226   129,2877   1120,3059   -3,3803   
Итерация 92: 300,2188   129,2518   1120,3235   -3,351   
Итерация 93: 300,2223   129,1993   1120,2938   -3,2149   
Итерация 94: 300,2206   129,2318   1120,3665   -3,3595   
Итерация 95: 300,2182   129,167   1120,3344   -3,2335   
Итерация 96: 300,2715   129,1601   1120,7731   -3,3245   
Итерация 97: 300,2466   129,0202   1120,7735   -3,2217   
Итерация 98: 300,2486   129,0136   1120,9552   -3,2934   
Итерация 99: 300,2409   128,9361   1120,9207   -3,1782   
Итерация 100: 300,2431   128,8787   1120,8901   -3,0453   
Итерация 101: 300,2292   128,6981   1120,908   -2,8592   
Итерация 102: 300,2375   128,7924   1120,9678   -3,0104   
Итерация 103: 300,2341   128,6209   1121,4632   -2,9895   
Итерация 104: 300,2291   128,549   1121,4299   -2,8732   
Итерация 105: 300,2835   128,9353   1121,6263   -3,3821   
Итерация 106: 300,2357   128,5357   1121,5188   -2,8705   
Итерация 107: 300,2232   128,4722   1121,5757   -2,8576   
Итерация 108: 300,2188   128,4016   1121,5426   -2,7406   
Итерация 109: 300,241   128,4986   1121,6038   -2,8465   
Итерация 110: 300,2308   128,3811   1121,72   -2,7211   
Итерация 111: 300,2278   128,4724   1121,8   -2,9313   
Итерация 112: 300,2419   128,5633   1121,8371   -3,0338   
Итерация 113: 300,2013   128,2295   1121,6948   -2,5881   
Итерация 114: 300,2023   128,2303   1121,7394   -2,6327   
Итерация 115: 300,2011   128,1663   1121,7076   -2,5107   
