Итерация 68: 460,9332   -4,406   561,354   
Итерация 69: 460,803   -4,3401   561,2462   
Итерация 70: 460,609   -4,2796   561,0858   
Итерация 71: 460,4791   -4,2202   560,978   
Итерация 72: 460,2854   -4,1656   560,8174   
Итерация 73: 460,1556   -4,1053   560,7093   
Итерация 74: 460,026   -4,0518   560,6013   
Итерация 75: 459,8326   -4,0008   560,4403   
Итерация 76: 459,7032   -3,9472   560,3321   
Итерация 77: 459,5738   -3,8953   560,2239   
Итерация 78: 459,4445   -3,8481   560,1156   
Итерация 79: 459,2515   -3,803   559,9541   
Итерация 80: 459,1224   -3,7538   559,8457   
Итерация 81: 458,9934   -3,7099   559,7373   
Итерация 82: 458,8645   -3,6652   559,6288   
Итерация 83: 458,7356   -3,6231   559,5203   
Итерация 84: 458,6068   -3,5804   559,4116   
Итерация 85: 458,4779   -3,5372   559,3028   
Итерация 86: 458,3492   -3,497   559,194   
Итерация 87: 458,2843   -3,4567   559,1387   
Итерация 88: 458,1556   -3,4194   559,0296   
Итерация 89: 458,027   -3,382   558,9205   
Итерация 90: 457,8984   -3,3447   558,8112   
Итерация 91: 457,7699   -3,3109   558,702   
Итерация 92: 457,6415   -3,2773   558,5928   
Итерация 93: 457,5768   -3,2391   558,5373   
Итерация 94: 457,4484   -3,2062   558,4278   
Итерация 95: 457,3837   -3,1716   558,3723   
Итерация 96: 457,2553   -3,1396   558,2625   
Итерация 97: 457,127   -3,1082   558,1527   
Итерация 98: 456,9988   -3,0812   558,0431   
Итерация 99: 456,9343   -3,0471   557,9875   
Итерация 100: 456,8061   -3,018   557,8775   
Итерация 101: 456,7416   -2,9883   557,822   
Итерация 102: 456,6135   -2,961   557,7118   
Итерация 103: 456,5491   -2,932   557,6562   
Итерация 104: 456,421   -2,9069   557,5459   
Итерация 105: 456,3566   -2,8788   557,4902   
Итерация 106: 456,2922   -2,8491   557,4343   
Итерация 107: 456,1642   -2,8279   557,3238   
Итерация 108: 456,0998   -2,7993   557,2679   
Итерация 109: 456,0354   -2,7733   557,212   
Итерация 110: 455,9074   -2,7525   557,1012   
Итерация 111: 455,843   -2,7236   557,0451   
Итерация 112: 455,7788   -2,7019   556,9891   
Итерация 113: 455,6508   -2,6819   556,878   
Итерация 114: 455,5865   -2,6574   556,822   
Итерация 115: 455,4587   -2,6368   556,7108   
Итерация 116: 455,3945   -2,6139   556,6548   
Итерация 117: 455,3302   -2,5898   556,5986   
Итерация 118: 455,266   -2,5688   556,5425   
Итерация 119: 455,2018   -2,5465   556,4862   
Итерация 120: 455,1376   -2,5276   556,43   
Итерация 121: 455,0098   -2,5106   556,3183   
Итерация 122: 454,9456   -2,489   556,262   
Итерация 123: 454,8814   -2,4662   556,2056   
Итерация 124: 454,8173   -2,447   556,1492   
Итерация 125: 454,7531   -2,4265   556,0928   
Итерация 126: 454,6889   -2,4096   556,0364   
Итерация 127: 454,6248   -2,3915   555,9799   
Итерация 128: 454,5606   -2,3723   555,9233   
Итерация 129: 454,4965   -2,3568   555,8668   
Итерация 130: 454,3686   -2,3387   555,7542   
Итерация 131: 454,3046   -2,3209   555,6976   
Итерация 132: 454,2406   -2,307   555,6412   
Итерация 133: 454,2401   -2,2864   555,6405   
Итерация 134: 454,176   -2,2703   555,5837   
Итерация 135: 454,1118   -2,2531   555,5268   
Итерация 136: 453,9841   -2,2428   555,4139   
Итерация 137: 453,9836   -2,2215   555,4132   
Итерация 138: 453,9195   -2,2063   555,3563   
Итерация 139: 453,8553   -2,19   555,2993   
Итерация 140: 453,7913   -2,178   555,2424   
Итерация 141: 453,7271   -2,1596   555,1853   
Итерация 142: 453,663   -2,1455   555,1283   
Итерация 143: 453,5989   -2,1305   555,0712   
Итерация 144: 453,5349   -2,1199   555,0142   
Итерация 145: 453,4708   -2,1027   554,9571   
Итерация 146: 453,4068   -2,0902   554,9   
Итерация 147: 453,3428   -2,0766   554,8429   
Итерация 148: 453,2789   -2,0678   554,7859   
Итерация 149: 453,2785   -2,0504   554,7854   
Итерация 150: 453,2143   -2,0338   554,728   
Итерация 151: 453,1503   -2,0221   554,6707   
Итерация 152: 453,1501   -2,0103   554,6703   
Итерация 153: 453,0859   -1,9967   554,6127   
Итерация 154: 452,9581   -1,9854   554,4984   
Итерация 155: 452,9578   -1,9734   554,498   
Итерация 156: 452,8938   -1,9629   554,4405   
Итерация 157: 452,8297   -1,9515   554,3831   
Итерация 158: 452,7657   -1,9391   554,3256   
Итерация 159: 452,7654   -1,9267   554,3252   
Итерация 160: 452,7013   -1,9125   554,2674   
Итерация 161: 452,6373   -1,9037   554,2099   
Итерация 162: 452,637   -1,8911   554,2095   
Итерация 163: 452,5729   -1,8804   554,1517   
Итерация 164: 452,5088   -1,8689   554,0939   
Итерация 165: 452,5086   -1,8561   554,0935   
Итерация 166: 452,3807   -1,8489   553,9783   
Итерация 167: 452,3804   -1,8359   553,9778   
Итерация 168: 452,3164   -1,8274   553,92   
Итерация 169: 452,3161   -1,8142   553,9196   
Итерация 170: 452,252   -1,804   553,8616   
Итерация 171: 452,1879   -1,7929   553,8035   
Итерация 172: 452,1877   -1,7862   553,8033   
Значение целевой функции: 1261,7890271325
