Итерация 37: 300,2518   141,0604   1086,0515   -8,2348   
Итерация 38: 300,2341   140,919   1086,0745   -8,0934   
Итерация 39: 300,2636   140,5867   1086,7719   -7,9234   
Итерация 40: 300,2258   140,2902   1086,8141   -7,615   
Итерация 41: 300,2417   140,1174   1087,1921   -7,5363   
Итерация 42: 300,2008   139,8771   1087,1304   -7,2635   
Итерация 43: 300,1947   139,8125   1087,1587   -7,2109   
Итерация 44: 300,1508   139,5828   1087,0617   -6,9383   
Итерация 45: 300,1745   139,4441   1087,3291   -6,873   
Итерация 46: 300,1769   139,2168   1087,5494   -6,6951   
Итерация 47: 300,1873   139,1244   1087,7138   -6,6471   
Итерация 48: 300,1704   138,9774   1087,731   -6,4982   
Итерация 49: 300,1523   138,8548   1087,7159   -6,3663   
Итерация 50: 300,2421   138,4901   1088,9516   -6,3007   
Итерация 51: 300,2213   138,2895   1089,0639   -6,1113   
Итерация 52: 300,242   138,082   1089,754   -6,0577   
Итерация 53: 300,2621   137,8313   1090,7687   -6,0265   
Итерация 54: 300,2675   137,3971   1092,4426   -5,9347   
Итерация 55: 300,3354   135,1569   1105,536   -6,3827   
Итерация 56: 300,252   134,6423   1105,2978   -5,6859   
Итерация 57: 300,233   134,6038   1105,2902   -5,7203   
Итерация 58: 300,2491   134,6921   1105,3306   -5,8305   
Итерация 59: 300,2948   134,6312   1106,0604   -5,9448   
Итерация 60: 300,2424   134,3421   1105,936   -5,5887   
Итерация 61: 300,2437   133,4082   1109,0241   -5,1737   
Итерация 62: 300,2794   133,6877   1109,1688   -5,6207   
Итерация 63: 300,247   133,5069   1109,0893   -5,396   
Итерация 64: 300,1991   133,1839   1108,9375   -4,9201   
Итерация 65: 300,1751   133,0345   1108,8895   -4,729   
Итерация 66: 300,1873   133,1543   1108,9851   -4,9798   
Итерация 67: 300,189   133,1382   1109,0097   -4,9718   
Итерация 68: 300,1752   133,0599   1108,998   -4,8967   
Итерация 69: 300,16   132,9745   1108,959   -4,7826   
Итерация 70: 300,2669   131,2155   1116,3488   -4,4921   
Итерация 71: 300,2735   131,2737   1116,5044   -4,6723   
Итерация 72: 300,2316   130,9545   1116,3612   -4,2131   
Итерация 73: 300,2832   131,1971   1116,7412   -4,6583   
Итерация 74: 300,2684   131,1074   1116,7035   -4,5492   
Итерация 75: 300,2193   130,7731   1116,5573   -4,0994   
Итерация 76: 300,2216   130,7201   1116,5267   -3,963   
Итерация 77: 300,2445   130,8255   1116,761   -4,2632   
