Итерация 88: 419,5501   -2,181   557,3889   
Итерация 89: 419,5495   -2,1571   557,3883   
Итерация 90: 419,549   -2,1328   557,3876   
Итерация 91: 419,5485   -2,1107   557,387   
Итерация 92: 419,5065   -2,0877   557,3641   
Итерация 93: 419,506   -2,0651   557,3635   
Итерация 94: 419,5056   -2,0448   557,3629   
Итерация 95: 419,5051   -2,0218   557,3623   
Итерация 96: 419,5047   -2,001   557,3617   
Итерация 97: 419,5043   -1,9827   557,3612   
Итерация 98: 419,5039   -1,9615   557,3607   
Итерация 99: 419,5035   -1,9427   557,3602   
Итерация 100: 419,4616   -1,923   557,3373   
Итерация 101: 419,4612   -1,9038   557,3368   
Итерация 102: 419,4609   -1,8873   557,3363   
Итерация 103: 419,4605   -1,8678   557,3358   
Итерация 104: 419,4601   -1,8509   557,3354   
Итерация 105: 419,4598   -1,8338   557,3349   
Итерация 106: 419,4594   -1,8165   557,3345   
Итерация 107: 419,4591   -1,7991   557,334   
Итерация 108: 419,4588   -1,7816   557,3336   
Итерация 109: 419,4585   -1,7668   557,3332   
Итерация 110: 419,4582   -1,7519   557,3328   
Итерация 111: 419,4164   -1,7375   557,3099   
Итерация 112: 419,4161   -1,7223   557,3095   
Итерация 113: 419,4158   -1,707   557,3091   
Итерация 114: 419,4155   -1,6915   557,3087   
Итерация 115: 419,4152   -1,6758   557,3083   
Итерация 116: 419,415   -1,6632   557,308   
Итерация 117: 419,4147   -1,6473   557,3076   
Итерация 118: 419,4144   -1,6345   557,3073   
Итерация 119: 419,4142   -1,6215   557,307   
Итерация 120: 419,4139   -1,6085   557,3066   
Итерация 121: 419,4137   -1,5953   557,3063   
Итерация 122: 419,4135   -1,582   557,306   
Итерация 123: 419,4132   -1,5686   557,3056   
Итерация 124: 419,413   -1,5585   557,3054   
Итерация 125: 419,4128   -1,5448   557,305   
Итерация 126: 419,371   -1,5329   557,282   
Итерация 127: 419,3708   -1,5225   557,2817   
Итерация 128: 419,3706   -1,512   557,2815   
Итерация 129: 419,3703   -1,498   557,2811   
Итерация 130: 419,3701   -1,4873   557,2809   
Итерация 131: 419,37   -1,4766   557,2806   
Итерация 132: 419,3698   -1,4658   557,2803   
Итерация 133: 419,3696   -1,4549   557,2801   
Итерация 134: 419,3694   -1,4439   557,2798   
Итерация 135: 419,3692   -1,4328   557,2795   
Итерация 136: 419,369   -1,4217   557,2792   
Итерация 137: 419,3689   -1,4142   557,2791   
Значение целевой функции: 1218,20748691368
