Итерация 224: -0,7306   -0,5508   17,504   
Итерация 225: -0,6058   -0,4813   17,5434   
Итерация 226: -0,6318   -0,4939   17,5255   
Итерация 227: -0,6568   -0,506   17,5083   
Итерация 228: -0,6807   -0,5175   17,4917   
Итерация 229: -0,7036   -0,5286   17,4759   
Итерация 230: -0,6042   -0,4718   17,4979   
Итерация 231: -0,6301   -0,4843   17,4801   
Итерация 232: -0,6547   -0,4962   17,463   
Итерация 233: -0,6783   -0,5076   17,4467   
Итерация 234: -0,7008   -0,5184   17,4311   
Итерация 235: -0,5786   -0,451   17,4691   
Итерация 236: -0,6055   -0,464   17,4506   
Итерация 237: -0,6311   -0,4764   17,433   
Итерация 238: -0,6554   -0,4882   17,4161   
Итерация 239: -0,6786   -0,4994   17,4   
Итерация 240: -0,5561   -0,4321   17,4384   
Итерация 241: -0,5838   -0,4456   17,4194   
Итерация 242: -0,6101   -0,4584   17,4012   
Итерация 243: -0,6351   -0,4705   17,3839   
Итерация 244: -0,6589   -0,482   17,3675   
Итерация 245: -0,5367   -0,4151   17,4058   
Итерация 246: -0,5651   -0,429   17,3864   
Итерация 247: -0,592   -0,4421   17,3678   
Итерация 248: -0,6175   -0,4544   17,3502   
Итерация 249: -0,6416   -0,4661   17,3335   
Итерация 250: -0,5204   -0,4001   17,3715   
Итерация 251: -0,5493   -0,4142   17,3517   
Итерация 252: -0,5766   -0,4275   17,3329   
Итерация 253: -0,6024   -0,44   17,3151   
Итерация 254: -0,7277   -0,5078   17,2739   
Итерация 255: -0,6263   -0,4516   17,2983   
Итерация 256: -0,5062   -0,3863   17,3357   
Итерация 257: -0,5356   -0,4007   17,3155   
Итерация 258: -0,5633   -0,4142   17,2965   
Итерация 259: -0,5895   -0,427   17,2784   
Итерация 260: -0,7132   -0,4937   17,2382   
Итерация 261: -0,6136   -0,4387   17,2615   
Итерация 262: -0,4954   -0,3746   17,2978   
Итерация 263: -0,5251   -0,3892   17,2774   
Итерация 264: -0,553   -0,4028   17,2582   
Итерация 265: -0,5793   -0,4156   17,2401   
Итерация 266: -0,458   -0,3503   17,2789   
Итерация 267: -0,4894   -0,3657   17,2574   
Итерация 268: -0,5189   -0,3802   17,2372   
Итерация 269: -0,5465   -0,3936   17,2182   
Итерация 270: -0,6705   -0,46   17,177   
Итерация 271: -0,5719   -0,406   17,2004   
Итерация 272: -0,454   -0,3427   17,2373   
Итерация 273: -0,4852   -0,358   17,2159   
Итерация 274: -0,5144   -0,3723   17,1959   
Итерация 275: -0,5416   -0,3856   17,1771   
Итерация 276: -0,6616   -0,4497   17,1383   
Итерация 277: -0,5666   -0,3978   17,1596   
Итерация 278: -0,4528   -0,3368   17,1941   
Итерация 279: -0,4836   -0,3519   17,173   
Итерация 280: -0,5122   -0,3659   17,1533   
Итерация 281: -0,6346   -0,4309   17,1125   
Итерация 282: -0,5385   -0,3787   17,135   
Итерация 283: -0,4228   -0,317   17,1712   
Итерация 284: -0,455   -0,3328   17,1491   
Итерация 285: -0,4849   -0,3475   17,1286   
Итерация 286: -0,6092   -0,4132   17,0861   
Итерация 287: -0,5123   -0,3609   17,1095   
Итерация 288: -0,6294   -0,4231   17,072   
Итерация 289: -0,5378   -0,3734   17,0917   
Итерация 290: -0,4274   -0,3145   17,1246   
Итерация 291: -0,4588   -0,3299   17,1031   
Итерация 292: -0,585   -0,3964   17,059   
Итерация 293: -0,4874   -0,3439   17,0833   
Итерация 294: -0,606   -0,4067   17,0443   
Итерация 295: -0,514   -0,3569   17,0647   
Итерация 296: -0,4025   -0,2978   17,0987   
Итерация 297: -0,4352   -0,3139   17,0763   
Итерация 298: -0,4653   -0,3286   17,0557   
Итерация 299: -0,5843   -0,3913   17,016   
Итерация 300: -0,4926   -0,342   17,0367   
Итерация 301: -0,3812   -0,2831   17,0712   
Итерация 302: -0,4147   -0,2996   17,0483   
Итерация 303: -0,4455   -0,3147   17,0271   
Итерация 304: -0,5642   -0,3771   16,9871   
Итерация 305: -0,4733   -0,3284   17,0078   
Итерация 306: -0,3624   -0,2699   17,0425   
Итерация 307: -0,3966   -0,2868   17,0192   
Итерация 308: -0,4278   -0,3022   16,9977   
Итерация 309: -0,5458   -0,364   16,9577   
Итерация 310: -0,456   -0,3161   16,9782   
Итерация 311: -0,3462   -0,2583   17,0128   
Итерация 312: -0,3808   -0,2755   16,9891   
Итерация 313: -0,5069   -0,3411   16,9431   
Итерация 314: -0,4121   -0,2908   16,9676   
Итерация 315: -0,529   -0,3519   16,9277   
Итерация 316: -0,4407   -0,3049   16,9478   
Итерация 317: -0,3321   -0,248   16,982   
Итерация 318: -0,3672   -0,2653   16,9581   
Итерация 319: -0,4918   -0,3301   16,9125   
Итерация 320: -0,3987   -0,2809   16,9363   
Итерация 321: -0,5139   -0,3409   16,8971   
Итерация 322: -0,4275   -0,295   16,9164   
Итерация 323: -0,3209   -0,2393   16,9499   
Итерация 324: -0,3561   -0,2567   16,9258   
Итерация 325: -0,4785   -0,3202   16,8812   
Итерация 326: -0,3877   -0,2723   16,9041   
Итерация 327: -0,5004   -0,3309   16,8659   
Итерация 328: -0,4163   -0,2863   16,8842   
Итерация 329: -0,3124   -0,2321   16,9165   
Итерация 330: -0,3475   -0,2495   16,8925   
Итерация 331: -0,4667   -0,3112   16,8494   
Итерация 332: -0,3787   -0,2649   16,871   
Итерация 333: -0,4883   -0,3218   16,8344   
Итерация 334: -0,407   -0,2788   16,8514   
Итерация 335: -0,3064   -0,2263   16,882   
Итерация 336: -0,341   -0,2435   16,8584   
Итерация 337: -0,4564   -0,3032   16,8172   
Итерация 338: -0,3717   -0,2587   16,8372   
Итерация 339: -0,4773   -0,3135   16,8026   
Итерация 340: -0,3993   -0,2723   16,818   
Итерация 341: -0,3026   -0,2219   16,8467   
Итерация 342: -0,4247   -0,2848   16,8005   
Итерация 343: -0,3362   -0,2385   16,8236   
Итерация 344: -0,4474   -0,296   16,7847   
Итерация 345: -0,3663   -0,2534   16,8029   
Итерация 346: -0,4677   -0,306   16,7705   
Итерация 347: -0,3932   -0,2666   16,7841   
Итерация 348: -0,3007   -0,2185   16,8106   
Итерация 349: -0,4178   -0,2788   16,7671   
Итерация 350: -0,3334   -0,2347   16,7881   
Итерация 351: -0,4396   -0,2895   16,7519   
Итерация 352: -0,3625   -0,249   16,7679   
Итерация 353: -0,266   -0,199   16,7977   
Итерация 354: -0,389   -0,2621   16,7497   
Итерация 355: -0,3014   -0,2166   16,7734   
Итерация 356: -0,4124   -0,2737   16,7334   
Итерация 357: -0,3328   -0,2321   16,7518   
Итерация 358: -0,4332   -0,2839   16,7189   
Итерация 359: -0,3606   -0,2458   16,7325   
