Итерация 44: 11,12330435   8,68255138   -0,04467652   2,36428481   9,696542   14,05407827   7,12915901   12,77729816   9,02783286   12,56071043   
Итерация 45: 11,12310883   8,68242103   -0,04384962   2,36418612   9,69630457   14,05385016   7,12903797   12,77696391   9,02757217   12,56055681   
Итерация 46: 11,12291757   8,68229353   -0,04304629   2,36408958   9,69607233   14,05362703   7,12891957   12,77663695   9,02731716   12,56040654   
Итерация 47: 11,12273348   8,6821708   -0,0422782   2,36399666   9,6958488   14,05341226   7,12880562   12,77632225   9,02707171   12,5602619   
Итерация 48: 11,12255506   8,68205186   -0,04153695   2,36390661   9,69563215   14,05320411   7,12869517   12,77601725   9,02683382   12,56012171   
Итерация 49: 11,122384   8,68193782   -0,04082773   2,36382026   9,69542444   14,05300454   7,12858927   12,77572482   9,02660574   12,55998731   
Итерация 50: 11,12221687   8,6818264   -0,0401361   2,3637359   9,69522149   14,05280955   7,12848581   12,7754391   9,0263829   12,55985599   
Итерация 51: 11,1220527   8,68171695   -0,03946096   2,36365304   9,69502215   14,05261802   7,12838418   12,77515846   9,02616402   12,55972701   
Итерация 52: 11,12189459   8,68161154   -0,03881455   2,36357323   9,69483015   14,05243356   7,1282863   12,77488815   9,02595319   12,55960277   
Итерация 53: 11,12174298   8,68151047   -0,03819552   2,3634967   9,69464606   14,05225668   7,12819245   12,77462898   9,02575105   12,55948365   
Итерация 54: 11,12159441   8,68141143   -0,0375896   2,36342171   9,69446565   14,05208335   7,12810048   12,774375   9,02555296   12,55936692   
Итерация 55: 11,12144998   8,68131514   -0,03700256   2,36334881   9,69429028   14,05191485   7,12801107   12,7741281   9,02536039   12,55925344   
Итерация 56: 11,12130954   8,68122151   -0,03643358   2,36327792   9,69411974   14,051751   7,12792413   12,773888   9,02517313   12,55914309   
Итерация 57: 11,12117095   8,68112912   -0,03587528   2,36320796   9,69395145   14,05158932   7,12783834   12,77365109   9,02498835   12,5590342   
Итерация 58: 11,12103742   8,6810401   -0,03534024   2,36314056   9,69378931   14,05143353   7,12775567   12,77342281   9,0248103   12,55892928   
Итерация 59: 11,12090939   8,68095475   -0,03482745   2,36307594   9,69363384   14,05128416   7,12767642   12,77320394   9,0246396   12,55882869   
Итерация 60: 11,12078342   8,68087076   -0,03432303   2,36301235   9,69348087   14,05113719   7,12759843   12,77298858   9,02447163   12,55872971   
Итерация 61: 11,12066067   8,68078893   -0,0338329   2,36295039   9,69333183   14,05099399   7,12752245   12,77277874   9,02430797   12,55863327   
Итерация 62: 11,12054105   8,68070918   -0,03335657   2,36289001   9,69318657   14,05085443   7,1274484   12,77257425   9,02414848   12,55853928   
Итерация 63: 11,12042249   8,68063015   -0,03288693   2,36283017   9,69304261   14,05071611   7,12737501   12,77237157   9,0239904   12,55844612   
Итерация 64: 11,12030826   8,68055399   -0,03243675   2,36277251   9,6929039   14,05058284   7,12730429   12,77217629   9,02383809   12,55835637   
Итерация 65: 11,12019686   8,68047972   -0,03199873   2,36271627   9,69276862   14,05045287   7,12723533   12,77198584   9,02368955   12,55826884   
Итерация 66: 11,12009008   8,68040853   -0,03157875   2,36266237   9,69263895   14,05032829   7,12716922   12,77180329   9,02354717   12,55818494   
